Process;Name;Type;Send Invocation;Send Msg Length;Receive Invocation;Receive Msg Length;Duration;Rate
Process 0;MPI_Bcast;ONE2ALL;150;150;58905600;0;230.073968;256028.965472
Process 1;MPI_Bcast;ONE2ALL;0;150;0;20842905600;242.148759;86074798.297103
Process 2;MPI_Bcast;ONE2ALL;0;150;0;20842905600;246.822633;84444871.724561
Process 3;MPI_Bcast;ONE2ALL;0;150;0;20842905600;246.607479;84518546.212009
Process 4;MPI_Bcast;ONE2ALL;0;150;0;20842905600;242.623511;85906372.042213
Process 5;MPI_Bcast;ONE2ALL;0;150;0;20842905600;244.516913;85241161.215528
Process 6;MPI_Bcast;ONE2ALL;0;150;0;20842905600;238.545906;87374820.078086
Process 7;MPI_Bcast;ONE2ALL;0;150;0;20842905600;238.158565;87516926.398812
Process 8;MPI_Bcast;ONE2ALL;0;150;0;20842905600;246.051470;84709534.824833
Process 9;MPI_Bcast;ONE2ALL;0;150;0;20842905600;240.206139;86770911.416492
Process 10;MPI_Bcast;ONE2ALL;0;150;0;20842905600;246.824470;84444243.147490
Process 11;MPI_Bcast;ONE2ALL;0;150;0;20842905600;245.593595;84867464.029751
Process 12;MPI_Bcast;ONE2ALL;0;150;0;20842905600;244.433147;85270372.970609
Process 13;MPI_Bcast;ONE2ALL;0;150;0;20842905600;246.595739;84522569.948494
Process 14;MPI_Bcast;ONE2ALL;0;150;0;20842905600;242.243734;86041051.425418
Process 15;MPI_Bcast;ONE2ALL;0;150;0;20842905600;240.214599;86767855.612759
Process 16;MPI_Bcast;ONE2ALL;0;150;0;20842905600;243.582954;85567997.389066
Process 17;MPI_Bcast;ONE2ALL;0;150;0;20842905600;247.782579;84117720.099712
Process 18;MPI_Bcast;ONE2ALL;0;150;0;20842905600;245.690780;84833894.180133
Process 19;MPI_Bcast;ONE2ALL;0;150;0;20842905600;244.299634;85316974.240903
Process 20;MPI_Bcast;ONE2ALL;0;150;0;20842905600;247.467337;84224875.429625
Process 21;MPI_Bcast;ONE2ALL;0;150;0;20842905600;242.509840;85946638.750957
Process 22;MPI_Bcast;ONE2ALL;0;150;0;20842905600;243.391257;85635391.723058
Process 23;MPI_Bcast;ONE2ALL;0;150;0;20842905600;240.831274;86545676.662062
Process 24;MPI_Bcast;ONE2ALL;0;150;0;20842905600;248.481888;83880985.463569
Process 25;MPI_Bcast;ONE2ALL;0;150;0;20842905600;239.906317;86879352.860315
Process 26;MPI_Bcast;ONE2ALL;0;150;0;20842905600;240.685625;86598049.287255
Process 27;MPI_Bcast;ONE2ALL;0;150;0;20842905600;242.086038;86097098.918552
Process 28;MPI_Bcast;ONE2ALL;0;150;0;20842905600;246.096297;84694104.821158
Process 29;MPI_Bcast;ONE2ALL;0;150;0;20842905600;250.656257;83153342.423524
Process 30;MPI_Bcast;ONE2ALL;0;150;0;20842905600;243.080572;85744843.501865
Process 31;MPI_Bcast;ONE2ALL;0;150;0;20842905600;240.697634;86593728.712145
